path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\xlsx\00012128.xlsx,.xlsx,true,false,9347,3,,,13,0,0,
testdata\web-samples\samples\xlsx\00012139.xlsx,.xlsx,true,false,14632,2,,,10,0,0,
testdata\web-samples\samples\xlsx\00012163.xlsx,.xlsx,true,false,672605,1,,,231,0,0,
testdata\web-samples\samples\xlsx\00012174.xlsx,.xlsx,true,false,4572,0,,,10,0,0,
testdata\web-samples\samples\xlsx\00012198.xlsx,.xlsx,true,false,3896,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00012200.xlsx,.xlsx,true,false,4074,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00012225.xlsx,.xlsx,true,false,1882,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00012226.xlsx,.xlsx,true,false,1350,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00012260.xlsx,.xlsx,true,false,653,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00012262.xlsx,.xlsx,true,false,1011,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00012276.xlsx,.xlsx,true,false,4992,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00012307.xlsx,.xlsx,true,false,15726,0,,,12,0,0,
testdata\web-samples\samples\xlsx\00012308.xlsx,.xlsx,true,false,14466,0,,,10,0,0,
testdata\web-samples\samples\xlsx\00012309.xlsx,.xlsx,true,false,14583,0,,,13,0,0,
testdata\web-samples\samples\xlsx\00012318.xlsx,.xlsx,true,false,5556,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00012325.xlsx,.xlsx,true,false,1060,0,,,8,0,0,
testdata\web-samples\samples\xlsx\00012371.xlsx,.xlsx,true,false,426,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00012383.xlsx,.xlsx,true,false,81051,0,,,44,0,0,
testdata\web-samples\samples\xlsx\00012389.xlsx,.xlsx,true,false,11148655,0,,,2789,0,0,
testdata\web-samples\samples\xlsx\00012397.xlsx,.xlsx,true,false,7112,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00012409.xlsx,.xlsx,true,false,62485,7,,,83,0,0,
testdata\web-samples\samples\xlsx\00012455.xlsx,.xlsx,true,false,21935,0,,,57,0,0,
testdata\web-samples\samples\xlsx\00012467.xlsx,.xlsx,true,false,6513,0,,,3,0,0,
testdata\web-samples\samples\xlsx\00012530.xlsx,.xlsx,true,false,42953,1,,,276,0,0,
testdata\web-samples\samples\xlsx\00012560.xlsx,.xlsx,true,false,161642,0,,,60,0,0,
testdata\web-samples\samples\xlsx\00012564.xlsx,.xlsx,true,false,4462,0,,,33,0,0,
testdata\web-samples\samples\xlsx\00012588.xlsx,.xlsx,true,false,6689,0,,,6,0,0,
testdata\web-samples\samples\xlsx\00012608.xlsx,.xlsx,true,false,2886,0,,,17,0,0,
testdata\web-samples\samples\xlsx\00012611.xlsx,.xlsx,true,false,3446,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00012616.xlsx,.xlsx,true,false,7213,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00012617.xlsx,.xlsx,true,false,6637,0,,,7,0,0,
testdata\web-samples\samples\xlsx\00012618.xlsx,.xlsx,true,false,10924,0,,,9,0,0,
testdata\web-samples\samples\xlsx\00012634.xlsx,.xlsx,true,false,13003,0,,,6,0,0,
testdata\web-samples\samples\xlsx\00012636.xlsx,.xlsx,true,false,114,1,,,2,0,0,
testdata\web-samples\samples\xlsx\00012647.xlsx,.xlsx,true,false,2731103,1,,,723,0,0,
testdata\web-samples\samples\xlsx\00012651.xlsx,.xlsx,true,false,10639,0,,,9,0,0,
testdata\web-samples\samples\xlsx\00012658.xlsx,.xlsx,true,false,18695,1,,,25,0,0,
testdata\web-samples\samples\xlsx\00012667.xlsx,.xlsx,true,false,10165,0,,,8,0,0,
testdata\web-samples\samples\xlsx\00012682.xlsx,.xlsx,true,false,55,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00012758.xlsx,.xlsx,true,false,50496,0,,,32,0,0,
testdata\web-samples\samples\xlsx\00012760.xlsx,.xlsx,true,false,23891,0,,,4,0,0,
testdata\web-samples\samples\xlsx\00012765.xlsx,.xlsx,true,false,768,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00012807.xlsx,.xlsx,true,false,25928,43,,,98,0,0,
testdata\web-samples\samples\xlsx\00012830.xlsx,.xlsx,true,false,43302,0,,,10,0,0,
testdata\web-samples\samples\xlsx\00012850.xlsx,.xlsx,true,false,9494,10,,,41,0,0,
testdata\web-samples\samples\xlsx\00012856.xlsx,.xlsx,true,false,19450,0,,,18,0,0,
testdata\web-samples\samples\xlsx\00012863.xlsx,.xlsx,true,false,1429,1,,,85,0,0,
testdata\web-samples\samples\xlsx\00012864.xlsx,.xlsx,true,false,82152,0,,,26,0,0,
testdata\web-samples\samples\xlsx\00012913.xlsx,.xlsx,true,false,1431,0,,,5,0,0,
testdata\web-samples\samples\xlsx\00012923.xlsx,.xlsx,true,false,572,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00012932.xlsx,.xlsx,true,false,2151,0,,,2,0,0,
testdata\web-samples\samples\xlsx\00012956.xlsx,.xlsx,true,false,100,0,,,1,0,0,
testdata\web-samples\samples\xlsx\00013002.xlsx,.xlsx,true,false,2188,1,,,6,0,0,
testdata\web-samples\samples\xlsx\00013020.xlsx,.xlsx,true,false,16602,0,,,11,0,0,
testdata\web-samples\samples\xlsx\00013028.xlsx,.xlsx,true,false,6884,2,,,11,0,0,
testdata\web-samples\samples\xlsx\00013036.xlsx,.xlsx,true,false,29745,0,,,40,0,0,
