path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\doc\000256.doc,.doc,true,false,791,0,,,3,0,0,
testdata\web-samples\samples\doc\000259-2.doc,.doc,true,false,39699,1,,,155,0,0,
testdata\web-samples\samples\doc\000259.doc,.doc,true,false,39699,1,,,156,0,0,
testdata\web-samples\samples\doc\000260-2.doc,.doc,true,false,29742,1,,,113,0,0,
testdata\web-samples\samples\doc\000260.doc,.doc,true,false,29742,1,,,110,0,0,
testdata\web-samples\samples\doc\000261-2.doc,.doc,true,false,84108,21,,,354,0,0,
testdata\web-samples\samples\doc\000261.doc,.doc,true,false,84108,21,,,360,0,0,
testdata\web-samples\samples\doc\000264-2.doc,.doc,true,false,13845,0,,,70,0,0,
testdata\web-samples\samples\doc\000264.doc,.doc,true,false,13845,0,,,72,0,0,
testdata\web-samples\samples\doc\000265-2.doc,.doc,true,false,716,0,,,2,0,0,
testdata\web-samples\samples\doc\000265.doc,.doc,true,false,716,0,,,2,0,0,
testdata\web-samples\samples\doc\000267-2.doc,.doc,true,false,149188,1,,,973,0,0,
testdata\web-samples\samples\doc\000267.doc,.doc,true,false,149188,1,,,1345,0,0,
testdata\web-samples\samples\doc\000268-2.doc,.doc,true,false,1531,0,,,21,0,0,
testdata\web-samples\samples\doc\000268.doc,.doc,true,false,1531,0,,,11,0,0,
testdata\web-samples\samples\doc\000273-2.doc,.doc,true,false,5497,1,,,67,0,0,
testdata\web-samples\samples\doc\000273.doc,.doc,true,false,5497,1,,,127,0,0,
testdata\web-samples\samples\doc\000274-2.doc,.doc,true,false,3735,1,,,51,0,0,
testdata\web-samples\samples\doc\000274.doc,.doc,true,false,3735,1,,,173,0,0,
testdata\web-samples\samples\doc\000275-2.doc,.doc,true,false,5628,0,,,127,0,0,
testdata\web-samples\samples\doc\000275.doc,.doc,true,false,5628,0,,,45,0,0,
testdata\web-samples\samples\doc\000276-2.doc,.doc,true,false,44639,1,,,908,0,0,
testdata\web-samples\samples\doc\000276.doc,.doc,true,false,44639,1,,,976,0,0,
testdata\web-samples\samples\doc\000277-2.doc,.doc,true,false,0,1,,,10,0,0,
testdata\web-samples\samples\doc\000277.doc,.doc,true,false,0,1,,,17,0,0,
testdata\web-samples\samples\doc\000278-2.doc,.doc,true,false,43691,0,,,650,0,0,
testdata\web-samples\samples\doc\000278.doc,.doc,true,false,43691,0,,,1045,0,0,
testdata\web-samples\samples\doc\000279-2.doc,.doc,true,false,4991,0,,,154,0,0,
testdata\web-samples\samples\doc\000279.doc,.doc,true,false,4991,0,,,126,0,0,
testdata\web-samples\samples\doc\000281-2.doc,.doc,true,false,14911,0,,,230,0,0,
testdata\web-samples\samples\doc\000281.doc,.doc,true,false,14911,0,,,183,0,0,
testdata\web-samples\samples\doc\000283-2.doc,.doc,true,false,21443,0,,,666,0,0,
testdata\web-samples\samples\doc\000283.doc,.doc,true,false,21443,0,,,137,0,0,
testdata\web-samples\samples\doc\000285-2.doc,.doc,true,false,3342,0,,,13,0,0,
testdata\web-samples\samples\doc\000285.doc,.doc,true,false,3342,0,,,9,0,0,
testdata\web-samples\samples\doc\000286-2.doc,.doc,true,false,0,3,,,1,0,0,
testdata\web-samples\samples\doc\000286.doc,.doc,true,false,0,3,,,1,0,0,
testdata\web-samples\samples\doc\000287-2.doc,.doc,true,false,72437,0,,,268,0,0,
testdata\web-samples\samples\doc\000287.doc,.doc,true,false,72437,0,,,295,0,0,
testdata\web-samples\samples\doc\000533-2.doc,.doc,true,false,71540,0,,,467,0,0,
testdata\web-samples\samples\doc\000533.doc,.doc,true,false,71540,0,,,320,0,0,
