ext,status,name,size_or_detail,source
.docx,error,00000122.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000134.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000145.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000146.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000147.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000164.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000165.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000160.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000166.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000151.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000170.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000162.docx,,msx-13
.docx,error,00000171.docx,<urlopen error [Errno 11002] getaddrinfo failed>,msx-13
.docx,error,00000172.docx,<urlopen error [Errno 11002] getaddrinfo failed>,msx-13
.docx,error,00000176.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000178.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000161.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000180.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000179.docx,<urlopen error [SSL: TLSV1_ALERT_INTERNAL_ERROR] tlsv1 alert internal error (_ssl.c:1082)>,msx-13
.docx,bad-sha1,00000126.docx,,msx-13
.docx,bad-sha1,00000136.docx,,msx-13
.docx,ok,00000177.docx,,msx-13
.docx,ok,00000173.docx,,msx-13
.docx,error,00000167.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000168.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000175.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000174.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000187.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000189.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000186.docx,HTTP Error 403: Forbidden,msx-13
.docx,error,00000197.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000198.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000199.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000184.docx,HTTP Error 406: Not Acceptable,msx-13
.docx,bad-sha1,00000195.docx,,msx-13
.docx,error,00000191.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000188.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000194.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000169.docx,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,msx-13
.docx,error,00000196.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000205.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000200.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000182.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000190.docx,,msx-13
.docx,error,00000207.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000204.docx,,msx-13
.docx,bad-sha1,00000181.docx,,msx-13
.docx,error,00000192.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000193.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000104.docx,HTTP Error 522: <none>,msx-13
.docx,error,00000183.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000201.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000185.docx,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,msx-13
.docx,error,00000213.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000208.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000212.docx,,msx-13
.docx,error,00000217.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000206.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000209.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000203.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000202.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000223.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,bad-sha1,00000221.docx,,msx-13
.docx,error,00000214.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000222.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000211.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000229.docx,,msx-13
.docx,bad-sha1,00000216.docx,,msx-13
.docx,bad-sha1,00000225.docx,,msx-13
.docx,error,00000227.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000219.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000220.docx,HTTP Error 406: Not Acceptable,msx-13
.docx,error,00000228.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000231.docx,,msx-13
.docx,error,00000238.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,bad-sha1,00000233.docx,,msx-13
.docx,error,00000239.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000232.docx,,msx-13
.docx,error,00000215.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000224.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000236.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000248.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000242.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000244.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000246.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000240.docx,,msx-13
.docx,error,00000250.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000243.docx,HTTP Error 403: Forbidden,msx-13
.docx,bad-sha1,00000234.docx,,msx-13
.docx,ok,00000235.docx,,msx-13
.docx,error,00000245.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000259.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000253.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000237.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000210.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000258.docx,,msx-13
.docx,error,00000265.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000266.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000241.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000218.docx,<urlopen error [WinError 10054] 远程主机强迫关闭了一个现有的连接。>,msx-13
.docx,ok,00000230.docx,,msx-13
.docx,bad-sha1,00000264.docx,,msx-13
.docx,error,00000254.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000268.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000269.docx,HTTP Error 403: Forbidden,msx-13
.docx,bad-sha1,00000247.docx,,msx-13
.docx,error,00000252.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000270.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000267.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000249.docx,,msx-13
.docx,bad-sha1,00000276.docx,,msx-13
.docx,error,00000251.docx,<urlopen error [SSL: SSLV3_ALERT_HANDSHAKE_FAILURE] ssl/tls alert handshake failure (_ssl.c:1082)>,msx-13
.docx,error,00000275.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000260.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000271.docx,HTTP Error 403: Forbidden,msx-13
.docx,bad-sha1,00000277.docx,,msx-13
.docx,ok,00000281.docx,,msx-13
.docx,error,00000285.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000278.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000286.docx,,msx-13
.docx,error,00000291.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000280.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000282.docx,,msx-13
.docx,error,00000257.docx,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,msx-13
.docx,bad-sha1,00000272.docx,,msx-13
.docx,ok,00000283.docx,,msx-13
.docx,ok,00000284.docx,,msx-13
.docx,error,00000263.docx,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,msx-13
.docx,ok,00000293.docx,,msx-13
.docx,error,00000296.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,bad-sha1,00000295.docx,,msx-13
.docx,error,00000262.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000287.docx,,msx-13
.docx,error,00000297.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,bad-sha1,00000292.docx,,msx-13
.docx,ok,00000288.docx,,msx-13
.docx,ok,00000294.docx,,msx-13
.docx,error,00000303.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000273.docx,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,msx-13
.docx,error,00000311.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000299.docx,,msx-13
.docx,error,00000289.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000302.docx,,msx-13
.docx,error,00000300.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000309.docx,,msx-13
.docx,error,00000301.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000316.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000307.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000305.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000320.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000323.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000314.docx,,msx-13
.docx,bad-sha1,00000315.docx,,msx-13
.docx,error,00000304.docx,HTTP Error 404: NOT FOUND,msx-13
.docx,bad-sha1,00000318.docx,,msx-13
.docx,error,00000308.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000274.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000326.docx,,msx-13
.docx,ok,00000310.docx,,msx-13
.docx,error,00000333.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000317.docx,HTTP Error 406: Not Acceptable,msx-13
.docx,error,00000330.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000328.docx,,msx-13
.docx,error,00000337.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000329.docx,,msx-13
.docx,bad-sha1,00000334.docx,,msx-13
.docx,ok,00000332.docx,,msx-13
.docx,bad-sha1,00000322.docx,,msx-13
.docx,ok,00000327.docx,,msx-13
.docx,bad-sha1,00000324.docx,,msx-13
.docx,error,00000306.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000336.docx,Remote end closed connection without response,msx-13
.docx,ok,00000319.docx,,msx-13
.docx,error,00000347.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000348.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,bad-sha1,00000343.docx,,msx-13
.docx,error,00000226.docx,timed out,msx-13
.docx,error,00000321.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000312.docx,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,msx-13
.docx,error,00000340.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000331.docx,,msx-13
.docx,bad-sha1,00000341.docx,,msx-13
.docx,error,00000349.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000339.docx,,msx-13
.docx,bad-sha1,00000256.docx,,msx-13
.docx,error,00000356.docx,HTTP Error 403: Forbidden,msx-13
.docx,error,00000344.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000364.docx,,msx-13
.docx,error,00000357.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000346.docx,,msx-13
.docx,error,00000338.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000363.docx,,msx-13
.docx,error,00000355.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000345.docx,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,msx-13
.docx,error,00000350.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000353.docx,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,msx-13
.docx,error,00000354.docx,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,msx-13
.docx,error,00000367.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000372.docx,,msx-13
.docx,bad-sha1,00000373.docx,,msx-13
.docx,error,00000351.docx,[WinError 10054] 远程主机强迫关闭了一个现有的连接。,msx-13
.docx,error,00000360.docx,HTTP Error 404: Not Found,msx-13
.docx,bad-sha1,00000362.docx,,msx-13
.docx,error,00000361.docx,HTTP Error 403: Forbidden,msx-13
.docx,bad-sha1,00000368.docx,,msx-13
.docx,ok,00000376.docx,,msx-13
.docx,error,00000365.docx,HTTP Error 404: Not Found,msx-13
.docx,error,00000381.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,ok,00000371.docx,,msx-13
.docx,error,00000385.docx,<urlopen error [Errno 11001] getaddrinfo failed>,msx-13
.docx,error,00000377.docx,HTTP Error 404: Not Found,msx-13
.docx,ok,00000382.docx,,msx-13
.docx,ok,00000386.docx,,msx-13
.docx,error,00000384.docx,Remote end closed connection without response,msx-13
.docx,ok,00000379.docx,,msx-13
.docx,ok,00000387.docx,,msx-13
.docx,ok,00000374.docx,,msx-13
.docx,ok,00000390.docx,,msx-13
.docx,error,00000380.docx,HTTP Error 400: Bad Request,msx-13
